filename,type,incident,start_s,end_s,notes
gate_theft_01.mp4,vehicle_theft,yes,42,68,EXAMPLE ROW - man breaks window and drives off (delete me)
gate_normal_01.mp4,normal,no,,,EXAMPLE ROW - resident parks and walks in (delete me)
meva_2018-03-11_10-15-01_10-20-01_school_G424_r13_seg0.mp4,normal,0,,,"MEVA G424 (CC BY-4.0) — public stand-in, not our site"
meva_2018-03-11_10-15-01_10-20-01_school_G424_r13_seg1.mp4,normal,0,,,"MEVA G424 (CC BY-4.0) — public stand-in, not our site"
meva_2018-03-11_10-15-01_10-20-01_school_G424_r13_seg2.mp4,normal,0,,,"MEVA G424 (CC BY-4.0) — public stand-in, not our site"
meva_2018-03-11_15-15-02_15-20-02_school_G424_r13_seg0.mp4,normal,0,,,"MEVA G424 (CC BY-4.0) — public stand-in, not our site"
meva_2018-03-11_15-15-02_15-20-02_school_G424_r13_seg1.mp4,normal,0,,,"MEVA G424 (CC BY-4.0) — public stand-in, not our site"
meva_2018-03-11_15-15-02_15-20-02_school_G424_r13_seg2.mp4,normal,0,,,"MEVA G424 (CC BY-4.0) — public stand-in, not our site"
meva_2018-03-15_10-05-00_10-10-00_school_G424_r13_seg0.mp4,normal,0,,,"MEVA G424 (CC BY-4.0) — public stand-in, not our site"
meva_2018-03-15_10-05-00_10-10-00_school_G424_r13_seg1.mp4,normal,0,,,"MEVA G424 (CC BY-4.0) — public stand-in, not our site"
meva_2018-03-15_10-05-00_10-10-00_school_G424_r13_seg2.mp4,normal,0,,,"MEVA G424 (CC BY-4.0) — public stand-in, not our site"
